Conversation
LPLA reached a new All Time High at 63.27
LPLA is down 4.90% to $60.52
LPL Financial reached an all time high at 123.29
LPL Financial reached an all time high at 116.27
LPLA reached a new All Time High at 59.77
LPLA reached a new All Time High at 61.08
Another new high.
LPL Financial reached a 52 Week low at 63.22
LPL Financial reached an all time high at 113.76
LPLA reached a new All Time High at 61.93
LPLA is down -4.98% to 60.93
LPLA reached a new All Time High at 69.36
"LPL to lose mega hybrid RIA per Investment News. ndependent Financial Partners, a hybrid RIA with roughly $40.5 billion in assets under advisement and more than 500 advisers, plans to leave LPL Financial as its broker-dealer, according to two people with knowledge of the decision."
LPLA reached a new All Time High at 67.33
My scanner keeps picking up calls from the 70 to the 75 strike ... I bought a nice size of the 70 Aug call on Friday 7/28 around 69/share Paid 1.30 for the 70 call.. Good earnings coupled with the unusual call activity. Lets see what happens.
LPL Financial reached an all time high at 105.77
LPL Financial reached an all time high at 131.01
LPL Financial reached an all time high at 104.02
LPLA reached a new All Time High at 60.46
LPL Financial reached an all time high at 172.00
LPLA is up 7.37% to 65.00
LPL Financial reached an all time high at 101.01
Why is this dropping today?
LPL Financial reached an all time high at 128.52
LPL Financial reached an all time high at 111.30
LPLA reached a new All Time High at 61.28
LPLA is up 4.92% to 63.58
LPL Financial reached an all time high at 132.34
LPL Financial is down 5.41% to 165.28
New high-Funds buying today 2-23 IBD
blowout
LPLA reached a new All Time High at 66.20
LPLA reached a new All Time High at 71.68
LPL Financial is up 4.92% to 133.86
LPLA reached a new All Time High at 65.49
LPLA is down 4.97% to $61.59
LPLA reached a new All Time High at 58.49
LPL Financial reached an all time high at 118.67
LPL Financial reached an all time high at 106.84
LPLA is down -4.91% to 59.01
