Conversation
CPSI is up 8.55% to 21.59
CPSI is down 5.49% to 28.60
This is the gold moment to buy CPSI!!
CPSI is down -14.50% to 26.25
CPSI is up 6.88% to 27.81
CPSI is up 8.27% to 19.12
Trading CPSI is gambling.
CPSI reached a 52 Week high at 35.43
CPSI is up 7.02% to 24.84
CPSI is up 14.78% to 32.00
Toasted again with this #%$## company!!!
CPSI reached a 52 Week low at 20.16
CPSI is up 5.10% to 27.60
OPTI. ENZC. ”
CPSI is up 10.98% to 32.35
CPSI is down 5.98% to 22.79
CPSI is up 8.40% to 20.91
CPSI reached a 52 Week low at 18.78
CPSI is up 4.94% to 36.21
"Recent merger announcement gives smart software investors easy 10 bagger plus. Merger creates POWERHOUSE cloud software company (FSSN – under $.20) and Continuity Logic filling big unmet needs for thousands of giant customers. HUGE UPSIDE and strong buyout target!• Software giant, SAP Ariba is now a new FISION customer• World leader Gartner serves 15,000 clients and recognized Continuity Logic as a leader in Business Continuity Management Program Solutions 4 years in a row• Peter Christensen, the new Chairman of the Board of FISION was Director on Paine Webber Board• Both companies now serve Fortune 500 customers and are building large new clients fast• Sales increasing at exponential rates make FISION strong buyout candidate• FISION is surviving corporation (FSSN) https://seekingalpha.com/instablog/21922151-bioresearch-alert/5198257-fision-corp-continuity-logic-merger-creates-new-powerhouse-cloud-software-company"
CPSI is down 6.89% to 27.56
This is a good one. I have a lot of long term calls
CPSI reached a 52 Week low at 19.83
CPSI is up 6.19% to 22.98
CPSI is down 7.62% to 23.03
CPSI is up 7.34% to 18.65
CPSI is down 10.12% to 20.98
CPSI is up 5.19% to 29.50
CPSI is up 4.95% to 33.95
CPSI is up 5.51% to 30.08
CPSI is up 8.00% to 31.45
CPSI is up 9.23% to 22.14
CPSI is up 5.12% to 27.70
CPSI is down 8.89% to 20.29
CPSI is down 5.10% to $26.05
CPSI is up 5.55% to 28.93
CPSI is down 5.99% to 28.25
CPSI is up 5.91% to 30.30
CPSI is up 8.55% to 26.79
CPSI is up 6.16% to 26.52
CPSI is down 8.60% to 23.91
CPSI is down 16.28% to 29.01
6 months since Dom's post..no buyout and 1/2 the price...
CPSI is up 6.26% to $26.98
Computer Programs and Systems is up 7.87% to 33.98
CPSI reached a 52 Week low at 23.15
CPSI reached a new 52 Week Low at 25.45
CPSI is down 7.53% to 20.02
CPSI is down 5.60% to 25.46
CPSI is up 5.26% to 31.30
CPSI is up 11.40% to 30.98
CPSI is down 8.44% to 17.95
CPSI is down 4.91% to $24.97
CPSI reached a 52 Week high at 36.21
CPSI reached a 52 Week low at $23.90
CPSI is down 5.12% to 31.11
