Item,Polarity
'em,0.45648086386003295
'n,1.3065465686274549
'n handle,2.8899999999999997
's a,-0.01834615384615385
's abc,2.2808333333333346
's act,2.423
's again,-0.1136095238095237
's all,1.10778571428571
's and,-0.151248035914703
's area,-1.632214285714285
's article,2.180625
's be,0.1719961776859505
's big,2.585675675675675
's but,-0.0878181818181819
's by,-0.543433333333334
's call,2.2424999999999997
's chart,-0.465666666666667
's close,-0.396650997150997
's closing,-1.4055
's come,-0.5981291866028711
's cont,1.9205
's continue,1.0123714285714265
's do,0.8961376811594205
's drop,-1.08325
's first,0.48360000000000003
's for,-0.125631578947368
's from,-0.265578431372549
's game,0.21000000000000002
's gap,-0.22386458333333298
's get,0.8774142857142859
's go,0.6171000000000004
's hammer,-1.490681818181815
's have,-0.089296875
's hi,1.2001571428571451
's higher,3.465
's hold,0.950979166666665
's hope,1.583181818181815
's I,-0.1661278195488725
's if,0.7155
's it,0.047799999999999995
's largest,0.8653666666666671
's latest,-0.037272727272727346
's look,0.30760869565217397
's make,2.5054999999999996
's market,-0.27427380952380953
's my,-0.2180232558139535
's new,1.595076923076925
's news,1.157017857142855
's next,0.2795833333333335
's not,0.716407407407407
's now,-0.3155757575757575
's num,-0.0538318502824859
's number,-0.1422
's of,-0.3463023255813955
's or,-0.2671666666666665
's pattern,2.036
's pivot,2.710868708761435
's,-0.026700541629716853
's range,0.8875555555555554
's rNUM,5.2305
's see,0.2313343373493975
's show,-0.10988888888888851
's sNUM,2.811872076023395
's so,-0.26783333333333303
's soon,-0.459615384615385
's still,-1.01836363636364
's support,-0.530769230769231
's take,-0.5580000000000005
's target,1.51967391304348
's the,0.396982142857143
's this,-0.12421590909090902
's tkr,-0.19361428571428602
's to,0.46251768906199253
's tomorrow,-1.990666666666665
's trade,-0.4976428571428575
's trading,-0.03079824561403505
's volume,1.22182608695652
's wait,-0.2969090909090915
's why,-0.5001818181818175
's you,-0.07150000000000001
'til,-0.003875
!:),1.9875
$,-0.1980264458930185
$ and,1.26488888888889
$ area,0.9418181818181814
$ at,0.949666666666667
$ be,0.7667586206896555
$ in,1.1240666666666699
$ so,-0.2383636363636365
$ study,-0.9027272727272735
$ the,-1.4073
$ tkr,-0.553129032258064
$ today,0.8117391304347825
% %,0.59625
%,0.7222955678421681
% num,0.39098202614379096
% of,-0.297350859453994
% r,-0.800291005291005
& a,0.35191935483870995
& above,2.110265669515675
& at,-0.170826923076923
& back,1.4562679738562099
& below,-1.897086397058825
& beyond,1.978
& bounce,1.093478723404255
& c,-0.13486363636363652
& can,-0.2203846153846155
&,-0.14067973299242656
& change,-0.2383636363636365
& chart,0.7865000000000005
& co.,-0.480518181818182
& confirm,-0.67523076923077
& continue,0.949666666666667
& could,-0.7209
& cross,2.5054999999999996
& d,0.5973181818181821
& do,-0.2782770562770565
& eve,0.82845
& expect,-1.0473374999999994
& fail,-2.51097727272727
& fall,-1.7763333333333349
& fib,-1.80529411764706
& figure,-0.4983444444444445
& follow,0.6504333333333335
& gap,-0.5206250000000006
& gas,0.5698333333333335
& get,-0.178421052631579
& good,1.5702631578947401
& I,0.5696071623838166
& if,-0.16949999999999998
& info,-2.343
& it,-0.43911447368421097
& l,-0.4130769230769235
& look,0.6103497822931785
& market,-0.388609523809524
& may,1.9205
& monthly,-1.0527173913043502
& more,-0.16649999999999998
& move,1.002435897435897
& no,-0.276869565217392
& not,-0.328821428571429
& num,-0.2138152173913045
& on,-0.12161538461538451
& other,1.2044190476190502
& over,2.0895
& p.,-1.813571428571425
& pullback,1.941
& r,-0.9179487179487185
& ready,-0.22268181818181798
& resistance,-0.6833584905660379
& rise,1.27602005347594
& roll,-1.02927272727273
& s,-1.065026579111945
& s.,-0.6870646864686469
& see,0.8164444444444445
& silver,-0.646363636363637
& smaNUM,-1.34969491525424
& stoch,0.744888888888889
& stochastic,-0.885818181818181
& stock,-0.3228717948717945
& support,-0.3795
& t,0.43948108108108097
& take,0.553684210526316
& target,-0.473454545454546
& that,-0.1502177033492823
& then,-0.15764675052410898
& this,-0.25563461538461496
& tl,1.77817391304348
& type,2.036
& up,3.036
& volume,2.83294262295082
& wait,1.28547478991597
& x,1.178382352941175
& you,1.296169950738915
.:-),0.9703783783783795
.:),2.8965
.NUM,0.16253954802259868
.NUM,0.5967
.NUM.NUM,0.8246919504643965
:-(,-0.779625
:-),0.419775
:-)),2.604
:(,-0.165516483516484
:),1.02492250922509
:)),1.51944444444444
:).,0.177727272727273
:/,-0.117222222222222
:D,1.35870967741935
:p,-0.0585454545454546
:P,-1.2545945945946
;-),0.5624
;),0.7532189781021894
@,0.764583333333333
@,1.68865839160839
^ complete,4.0634999999999994
^ imminent,3.9505
^,4.60476956000685
^,3.503026666666665
^,3.449405145797595
_,-0.03696
|,-0.01541573033707865
|,-0.220090909090909
|,-0.09794117647058816
~ enjoy,4.008
~,0.0793384615384615
~,2.213292279411765
~,0.10145742317660114
~:),2.4690000000000003
+ +,1.6495098314606749
+ addition,5.180999999999999
+ before,2.5054999999999996
+ by,3.8745000000000003
+,1.1171735228519801
+ chart,3.9505
+ close,2.9204999999999997
+ come,2.95
+ cross,3.0905
+ day,1.6320000000000001
+ from,2.728
+ gain,1.58095553359684
+ handle,3.2424999999999997
+ in,2.0749163407214253
+ last,1.2193695652173902
+ move,4.1555
+ next,2.2424999999999997
+ or,1.978
+ point,-0.8385775862068965
+ r,1.9205
+ run,1.70525
+ s,-1.486243902439025
+ since,4.507944444444449
+ soon,4.036
+ stock,2.726
+ target,2.143
+ this,3.5445
+ to,1.60572105263158
+ today,1.5610412311266
+ volume,3.29
+NUM,-0.3278571428571425
<<,-0.00845454545454545
= $,1.020535714285715
= ^,5.05
= +,1.9205
= bear,-2.7483750000000002
= bearish,-4.405433645589385
= cd,-0.929211864406779
= higher,2.9204999999999997
=,-0.2984518201481745
= more,1.082631578947365
= not,-1.76266666666667
= NUMm,1.9205
= sell,-3.496714285714285
=,-0.3515625
=),1.23665217391304
=)),2.056
=P,0.855454545454545
>>,-0.242605433263452
>>,-0.7224999999999995
>> tkr,-4.12753846153846
a-b-c,-0.0879
a +,1.11271948051948
a a,0.8115069444444445
a absolute,2.6574999999999998
a additional,0.8998846153846155
a amazing,1.352699275362315
a announcement,0.8930909090909089
a area,-0.6453666666666665
a asc,2.423
a b,-0.43895075757575797
a baby,-0.3735027472527475
a back,-0.62475
a bailout,-1.67933333333333
a bear,-0.803771857923495
a bearish,-3.70523063973064
a beating,-0.8812058823529405
a bet,-0.349652046783626
a better,0.22982075471698102
a bid,1.1276879815100131
a bigger,-0.2610461538461535
a bit,0.28447393725631354
a black,-0.3864
a blockbuster,2.0895
a blow,-0.21564285714285703
a boat,0.175
a boost,3.1165
a brand,0.7335
a break,0.300357723936037
a breakdown,-4.014285353535355
a brick,-1.4262000000000001
a brief,-0.1227777777777775
a bull,0.2399822557122022
a bullish,0.23339408099688497
a business,-0.2255227272727275
a buying,1.64121982001756
a c,0.175
a candle,-0.5111217948717955
a case,0.1610075757575756
a cash,0.47291758241758247
a cbo,1.978
a certain,0.0744
a champ,0.391578947368421
a chance,0.58108
a channel,-0.221471982758621
a charm,-0.173948275862069
a chart,-0.2061517783291975
a cheaper,-0.219359090909091
a chinese,-0.813863636363636
a classic,-0.478541666666667
a cliff,-1.512455141129035
a close,-0.109368646487721
a closer,-0.7825
a clue,-0.339529220779221
a come,0.858705357142855
a complete,-0.5586726190476194
a concern,-0.983093350383633
a confirm,-0.5018025362318845
a confirmation,0.49597499999999994
a confluence,2.9795
a continuation,1.581822070722205
a continue,-0.46823717948718
a continued,-0.2885897435897435
a convincing,-0.129272727272727
a core,1.20625806451613
a correction,-0.8146726190476195
a crash,-2.68661160714286
a current,1.32135714285714
a daily,-0.570917096959265
a day,0.3131550685500625
a dead,-1.63253169642857
a death,-2.96100721153846
a decision,1.68219714285714
a decline,-2.905658333333335
a definite,-0.14834999999999998
a descend,-0.833546212121212
a diff,0.9563076923076925
a difference,-0.351272727272728
a dime,-0.12465725806451611
a do,-0.3864
a dog,-2.20064772727273
a dojus,-0.4605907441016335
a downside,-4.02923076923077
a drop,-1.128666666666665
a,-0.021762999044137102
a dt,0.949666666666667
a early,-0.0667479166666667
a earnings,-0.2512217810550195
a end,-0.4392748545742995
a entry,1.793386683738795
a eod,1.49035294117647
a exciting,2.423
a extended,-0.8322499999999999
a extension,0.0744
a fairly,0.175
a false,-0.8869269162210336
a fast,-0.5185777777777775
a feeling,1.04214570230608
a fight,-0.41421428571428603
a financial,-0.047307692307692356
a first,0.394825
a flag,1.18303499935426
a floor,0.7639714285714285
a flush,-1.493684210526315
a follow,0.7534296066252585
a fork,-2.949166666666665
a fortune,-0.2127179487179485
a free,-0.7741438298971285
a friend,0.517995215311005
a fun,0.667216589861751
a future,-0.5250128205128209
a game,0.3582348484848485
a giant,-0.4181250000000005
a gift,1.57823146230323
a global,-0.3735027472527475
a go,2.06362962962963
a gold,1.156757142857145
a green,1.031577380952382
a guess,0.38373589743589753
a guy,-0.28214285714285703
a h,-2.769608544461005
a hair,-0.1300000000000005
a half,0.499736909323116
a hammer,0.78082703003337
a handle,2.21775338983051
a hard,-0.4767000000000005
a have,-0.302333333333333
a hawk,0.27629411764705847
a head,-1.5760175710594302
a hint,0.985836363636365
a history,-0.2721666666666665
a hit,0.315794871794872
a hold,1.51905636007828
a hole,-1.4055
a home,0.952464285714285
a hour,0.07643243243243245
a huge,0.379180979521328
a hurry,-0.155599791013584
a important,-0.40837796610169497
a indicator,-1.219726315789475
a insider,0.740909090909091
a interesting,-0.19
a intraday,-0.6862265873015876
a inv,1.048589743589742
a inverse,2.248943108233115
a investor,0.016515873015872998
a itch,2.143
a key,-0.3945436893203885
a la,-1.15828571428571
a larger,-0.4380549645390075
a lead,-0.9781333333333325
